"Entry"	"Entry Name"	"Protein names"	"Gene Names"	"Organism"	"Gene Ontology IDs"	"Gene Ontology (GO)"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Organism (ID)"	"Gene Names (synonym)"	"Gene Names (ordered locus)"	"Gene Names (ORF)"	"Gene Names (primary)"	"Proteomes"	"Protein families"	"RefSeq"	"KEGG"	"GeneID"	"EnsemblBacteria"	"Annotation"	"Keywords"	"Caution"	"Keyword ID"	"Miscellaneous [CC]"	"Protein existence"	"Reviewed"	"Tools"	"UniParc"	"Comments"	"Features"	"Taxonomic lineage"	"Taxonomic lineage (Ids)"	"Virus hosts"	"Intramembrane"	"Subcellular location [CC]"	"Topological domain"	"Transmembrane"
"Q8PUL3"	"Q8PUL3_METMA"	"Ech Hydrogenase, Subunit"	"echB MM_2321"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016020"	"membrane [GO:0016020]"		"membrane [GO:0016020]"		192952		"MM_2321"		"echB"	"UP000000595: Chromosome"		"WP_011034245.1;"	"mma:MM_2321;"	"44087690;66136186;"	"AAM32017;"	1	"Membrane;Transmembrane;Transmembrane helix"		"KW-0472; KW-0812; KW-1133"		"Predicted"	"unreviewed"		"UPI00000690B1"	"SUBCELLULAR LOCATION (1)"	"Transmembrane (6)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."		"TRANSMEM 67..85; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 92..111; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 123..147; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 159..178; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 225..250; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 262..284; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUL4"	"Q8PUL4_METMA"	"Ech Hydrogenase, Subunit"	"echA MM_2320"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016020"	"membrane [GO:0016020]"		"membrane [GO:0016020]"		192952		"MM_2320"		"echA"	"UP000000595: Chromosome"		"WP_011034244.1;"	"mma:MM_2320;"	"24882025;66136187;"	"AAM32016;"	1	"Membrane;Transmembrane;Transmembrane helix"		"KW-0472; KW-0812; KW-1133"		"Predicted"	"unreviewed"		"UPI00000690B0"	"SUBCELLULAR LOCATION (1)"	"Domain (2); Transmembrane (18)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."		"TRANSMEM 6..23; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 30..47; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 67..84; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 91..109; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 121..140; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 160..177; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 183..202; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 214..233; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 245..269; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 281..308; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 320..341; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 348..366; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 372..394; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 415..432; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 452..472; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 493..514; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 545..564; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 617..637; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUL5"	"Q8PUL5_METMA"	"Hydrogenase expression/formation protein"	"hypE MM_2319"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"						192952		"MM_2319"		"hypE"	"UP000000595: Chromosome"	"HypE family"	"WP_011034243.1;"	"mma:MM_2319;"	"44087688;66136188;"	"AAM32015;"	1					"Inferred from homology"	"unreviewed"		"UPI00000690AF"	"SIMILARITY (1)"	"Domain (2)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUL6"	"Q8PUL6_METMA"	"Hydrogenase expression/formation protein"	"hypB MM_2318"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0003924; GO:0016151; GO:0051604"	"GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; protein maturation [GO:0051604]"	"protein maturation [GO:0051604]"		"GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]"	192952		"MM_2318"		"hypB"	"UP000000595: Chromosome"			"mma:MM_2318;"		"AAM32014;"	1					"Predicted"	"unreviewed"		"UPI00000690AE"		"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUL8"	"Q8PUL8_METMA"	"Hydrogenase expression/formation protein"	"hypD MM_2316"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0046872"	"metal ion binding [GO:0046872]"			"metal ion binding [GO:0046872]"	192952		"MM_2316"		"hypD"	"UP000000595: Chromosome"	"HypD family"		"mma:MM_2316;"		"AAM32012;"	1	"Iron;Metal-binding"		"KW-0408; KW-0479"		"Inferred from homology"	"unreviewed"		"UPI00000690AC"	"SIMILARITY (1)"		"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUL9"	"Q8PUL9_METMA"	"Hydrogenase expression/formation protein"	"hypC MM_2315"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"						192952		"MM_2315"		"hypC"	"UP000000595: Chromosome"	"HupF/HypC family"	"WP_011034239.1;"	"mma:MM_2315;"	"24879042;"	"AAM32011;"	1					"Inferred from homology"	"unreviewed"		"UPI00000690AB"	"SIMILARITY (1)"		"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUM2"	"Q8PUM2_METMA"	"COP associated protein"	"MM_2311"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0046872"	"metal ion binding [GO:0046872]"			"metal ion binding [GO:0046872]"	192952		"MM_2311"			"UP000000595: Chromosome"			"mma:MM_2311;"		"AAM32007;"	1					"Predicted"	"unreviewed"		"UPI00000690A8"		"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUM3"	"Q8PUM3_METMA"	"Ubiquinone biosynthesis protein"	"MM_2310"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0004672; GO:0005524; GO:0006468; GO:0016020"	"membrane [GO:0016020]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein phosphorylation [GO:0006468]"	"protein phosphorylation [GO:0006468]"	"membrane [GO:0016020]"	"ATP binding [GO:0005524]; protein kinase activity [GO:0004672]"	192952		"MM_2310"			"UP000000595: Chromosome"			"mma:MM_2310;"		"AAM32006;"	1	"Coiled coil;Membrane;Transmembrane;Transmembrane helix;Ubiquinone"		"KW-0175; KW-0472; KW-0812; KW-1133; KW-0830"		"Predicted"	"unreviewed"		"UPI00000690A7"		"Coiled coil (1); Domain (1); Transmembrane (2)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					"TRANSMEM 510..528; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 534..554; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUM4"	"Q8PUM4_METMA"	"Nucleoside transporter/FeoB GTPase Gate domain-containing protein"	"MM_2309"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016020"	"membrane [GO:0016020]"		"membrane [GO:0016020]"		192952		"MM_2309"			"UP000000595: Chromosome"		"WP_011034233.1;"	"mma:MM_2309;"	"24882014;"	"AAM32005;"	1	"Membrane;Transmembrane;Transmembrane helix"		"KW-0472; KW-0812; KW-1133"		"Predicted"	"unreviewed"		"UPI00000690A6"		"Domain (2); Transmembrane (6)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					"TRANSMEM 12..37; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 119..145; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 181..201; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 221..239; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 246..269; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 289..310; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUM5"	"Q8PUM5_METMA"	"Methyltransferase (EC 2.1.1.-)"	"MM_2308"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0008168; GO:0032259"	"methyltransferase activity [GO:0008168]; methylation [GO:0032259]"	"methylation [GO:0032259]"		"methyltransferase activity [GO:0008168]"	192952		"MM_2308"			"UP000000595: Chromosome"			"mma:MM_2308;"		"AAM32004;"	1	"Methyltransferase;Transferase"		"KW-0489; KW-0808"		"Predicted"	"unreviewed"		"UPI00000690A5"		"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUM8"	"Q8PUM8_METMA"	"Sodium/proline symporter"	"MM_2305"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016020; GO:0022857"	"membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]"		"membrane [GO:0016020]"	"transmembrane transporter activity [GO:0022857]"	192952		"MM_2305"			"UP000000595: Chromosome"	"Sodium:solute symporter (SSF) (TC 2.A.21) family"		"mma:MM_2305;"		"AAM32001;"	1	"Membrane;Transmembrane;Transmembrane helix"		"KW-0472; KW-0812; KW-1133"		"Inferred from homology"	"unreviewed"		"UPI00000690A4"	"SIMILARITY (1); SUBCELLULAR LOCATION (1)"	"Transmembrane (13)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."		"TRANSMEM 6..28; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 49..73; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 79..98; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 129..154; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 160..178; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 190..209; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 250..268; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 289..314; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 346..376; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 397..417; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 423..443; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 450..468; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 500..518; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUM9"	"Q8PUM9_METMA"	"Transcriptional regulator"	"MM_2303"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0050043"	"lactate racemase activity [GO:0050043]"			"lactate racemase activity [GO:0050043]"	192952		"MM_2303"			"UP000000595: Chromosome"			"mma:MM_2303;"		"AAM31999;"	1					"Predicted"	"unreviewed"		"UPI00000690A3"		"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUN0"	"Q8PUN0_METMA"	"Conserved protein"	"MM_2302"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0050043"	"lactate racemase activity [GO:0050043]"			"lactate racemase activity [GO:0050043]"	192952		"MM_2302"			"UP000000595: Chromosome"		"WP_011034227.1;"	"mma:MM_2302;"	"24840134;"	"AAM31998;"	1					"Predicted"	"unreviewed"		"UPI00000690A2"		"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUN2"	"Y2300_METMA"	"UPF0173 metal-dependent hydrolase MM_2300"	"MM_2300"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016787"	"hydrolase activity [GO:0016787]"			"hydrolase activity [GO:0016787]"	192952		"MM_2300"			"UP000000595: Chromosome"	"UPF0173 family"	"WP_011034225.1;"	"mma:MM_2300;"	"1480642;"	"AAM31996;"	1	"Hydrolase"		"KW-0378"		"Inferred from homology"	"reviewed"		"UPI000013BA4F"	"SIMILARITY (1)"	"Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUN3"	"Q8PUN3_METMA"	"DUF2117 domain-containing protein"	"MM_2299"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"						192952		"MM_2299"			"UP000000595: Chromosome"			"mma:MM_2299;"		"AAM31995;"	1					"Predicted"	"unreviewed"		"UPI00000690A0"			"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUN4"	"Q8PUN4_METMA"	"Conserved protein"	"MM_2298"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"						192952		"MM_2298"			"UP000000595: Chromosome"		"WP_011034223.1;"	"mma:MM_2298;"	"1480640;"	"AAM31994;"	1					"Predicted"	"unreviewed"		"UPI000006909F"		"Compositional bias (2); Domain (1); Region (4)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUN5"	"Q8PUN5_METMA"	"Conserved protein"	"MM_2297"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016020"	"membrane [GO:0016020]"		"membrane [GO:0016020]"		192952		"MM_2297"			"UP000000595: Chromosome"		"WP_011034222.1;"	"mma:MM_2297;"	"24840139;"	"AAM31993;"	1	"Membrane;Transmembrane;Transmembrane helix"		"KW-0472; KW-0812; KW-1133"		"Predicted"	"unreviewed"		"UPI000006909E"		"Transmembrane (9)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					"TRANSMEM 58..80; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 89..107; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 245..266; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 278..298; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 326..346; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 366..388; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 521..541; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 584..605; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 617..641; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUN6"	"Q8PUN6_METMA"	"Conserved protein"	"MM_2296"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016020"	"membrane [GO:0016020]"		"membrane [GO:0016020]"		192952		"MM_2296"			"UP000000595: Chromosome"		"WP_011034221.1;"	"mma:MM_2296;"	"24840140;"	"AAM31992;"	1	"Membrane;Transmembrane;Transmembrane helix"		"KW-0472; KW-0812; KW-1133"		"Predicted"	"unreviewed"		"UPI000006909D"		"Domain (1); Transmembrane (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					"TRANSMEM 371..389; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUN7"	"Q8PUN7_METMA"	"Surface layer protein B"	"MM_2295"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016020"	"membrane [GO:0016020]"		"membrane [GO:0016020]"		192952		"MM_2295"			"UP000000595: Chromosome"		"WP_011034220.1;"	"mma:MM_2295;"	"24840141;"	"AAM31991;"	1	"Membrane;Transmembrane;Transmembrane helix"		"KW-0472; KW-0812; KW-1133"		"Predicted"	"unreviewed"		"UPI000006909C"		"Compositional bias (1); Domain (2); Region (1); Transmembrane (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					"TRANSMEM 746..764; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PUN9"	"Q8PUN9_METMA"	"Type I restriction-modification system specificity subunit"	"MM_2293"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0003677; GO:0009307"	"DNA binding [GO:0003677]; DNA restriction-modification system [GO:0009307]"	"DNA restriction-modification system [GO:0009307]"		"DNA binding [GO:0003677]"	192952		"MM_2293"			"UP000000595: Chromosome"	"Type-I restriction system S methylase family"	"WP_011034218.1;"	"mma:MM_2293;"	"25392712;"	"AAM31989;"	1	"Coiled coil;DNA-binding;Restriction system"		"KW-0175; KW-0238; KW-0680"		"Inferred from homology"	"unreviewed"		"UPI000006909A"	"SIMILARITY (1)"	"Coiled coil (1); Domain (2)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PUP1"	"Q8PUP1_METMA"	"Zinc metalloprotease"	"MM_2291"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0006508; GO:0008237"	"metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]"	"proteolysis [GO:0006508]"		"metallopeptidase activity [GO:0008237]"	192952		"MM_2291"			"UP000000595: Chromosome"		"WP_011034216.1;"	"mma:MM_2291;"	"1480633;"	"AAM31987;"	1	"Hydrolase;Metalloprotease;Protease"		"KW-0378; KW-0482; KW-0645"		"Predicted"	"unreviewed"		"UPI0000069098"		"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
